page,title,url,description,etoiles,last_updated
2,VaibhaveS/MentalHealthWithAI,https://github.com/VaibhaveS/MentalHealthWithAI,"VaibhaveS/MentalHealthWithAIdivorcePRED offers an end to end solution from predicting the state of marriage with the help of machine learning, finding like minded pe…machine-learninggraph-algorithmsclusteringartificial-intelligencedynamic-programmingPython·6·Updatedon Jun 26, 2022",6,"on Jun 26, 2022"
2,arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,arunprasad-04/-Emotion-AI-Mental-Health-ChatbotPython·26·Updated12 days ago,26,12 days ago
2,neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,"neilgebhard/ai-therapistA personalAItherapist to help you with yourmentalhealthTypeScript·25·Updatedon Nov 29, 2025",25,"on Nov 29, 2025"
2,Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"Mercytopsy/AI-Health-Supervisor-AgentA multi-agentAIsystem designed to provide personalizedhealthguidance across fitness, diet, andmentalwellnessJupyter Notebook·18·Updatedon Apr 28, 2025",18,"on Apr 28, 2025"
2,HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,"HemantKumar01/SoulScriptPersonalAIMentalHealthTherapistTypeScript·6·Updatedon Sep 30, 2025",6,"on Sep 30, 2025"
2,AryanNayak/Muse,https://github.com/AryanNayak/Muse,"AryanNayak/MuseAnAIMentalHealthChatbotJupyter Notebook·11·Updatedon Nov 18, 2020",11,"on Nov 18, 2020"
2,yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,"yogyagit/IvyHacks2024_MentalHealthThinkWellAI: A real-timementalhealthsupport app leveragingAI-driven CBT techniques for personalized therapy sessions.Python·10·Updatedon Apr 27, 2024",10,"on Apr 27, 2024"
2,23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"23W-GBAC/RHYAN2Mentalhealth,cancer andAIPython·5·Updatedon Mar 12, 2024",5,"on Mar 12, 2024"
2,Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,"Rahul-Sahani04/Mental-Health-AI-AssistantMentalSupport Chatbot App: A Streamlit application implementing aMentalSupport Chatbot powered by Google GenerativeAI. Engage in conv…python3gemini-apistreamlitgemini-proPython·6·Updatedon Feb 7, 2024",6,"on Feb 7, 2024"
3,revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"revolutionarybukhari/ai-calling-agentI have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…Python·45·Updatedon Feb 6",45,on Feb 6
3,alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,"alvii147/HachikosJournalAI-based application formentalhealthjournal writing with virtual assistantpyqt5mental-healthgoogle-cloud-languagehackruPython·9·Updatedon Aug 6, 2024",9,"on Aug 6, 2024"
3,BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,"BinaryStudioAcademy/bsa-2023-calmpalAI-poweredmentalhealthapplicationTypeScript·3·Updatedon Oct 16, 2023",3,"on Oct 16, 2023"
3,Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,"Sakaar-Sen/MentalHealthBotAnAI-poweredmentalhealthchatbot created using the LangChain framework.Python·12·Updatedon Oct 19, 2023",12,"on Oct 19, 2023"
3,galihru/facemind,https://github.com/galihru/facemind,galihru/facemindapplication uses computer vision and machine learning to analyzementalhealthbased on facial expressions. The app includes login system…pythoncompetitioninstagramaicomputer-visionTeX·35·Updated1 hour ago,35,1 hour ago
3,siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"siddythings/system-prompts-and-models-of-ai-toolsA comprehensive collection ofAIsystem prompts, tools, and implementations across various domains including healthcare, voiceAI,mentalh…49·Updatedon May 15, 2025",49,"on May 15, 2025"
3,starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,"starlightknown/AIry_pageshackOn 2.0 Hack formentalhealthand awareness and voice hack categorygameCSS·8·Updatedon Mar 14, 2022",8,"on Mar 14, 2022"
3,mithatco/mental_health_multiagent,https://github.com/mithatco/mental_health_multiagent,"mithatco/mental_health_multiagent💡 Resources for the CIKM 2025 paper: TrustworthyAIPsychotherapy: Multi-Agent LLM Workflow for Counseling and ExplainableMentalDisorde…Python·11·Updatedon Aug 22, 2025",11,"on Aug 22, 2025"
3,Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,https://github.com/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,"Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-PlatformThe platform combines cutting-edge technology includingAI, IoT, and data analytics to provide personalizedmentalhealthsupport, resour…stress-testingmental-healthfullstack-developmentbiotechmood-trackerJavaScript·4·Updated25 days ago",4,25 days ago
3,SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,https://github.com/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"SohaibAamir28/Personalized_Mental_Healthcare-ChatbotThe app is anAI-powered chatbot that offers personalizedmentalhealthcare support to users, providing evidence-based advice and helping…Python·8·Updatedon Dec 21, 2025",8,"on Dec 21, 2025"
4,shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"shreyasharma04/HealthChatbot... used are diagnostics, patient engagement outside medical facilities, andmentalhealth. In our major we are working on diagnostic. 📃 …Python·127·Updatedon Feb 21, 2022",127,"on Feb 21, 2022"
4,behtar-foundation/Sukoon,https://github.com/behtar-foundation/Sukoon,"behtar-foundation/SukoonWe want to build open-source solutions and standards for usingAIto solvementalhealthchallenges. The goal is to apply DPI knowledge a…Jupyter Notebook·27·Updatedon Jun 13, 2025",27,"on Jun 13, 2025"
4,rrishi0309/Mental-Health-AI-Companion,https://github.com/rrishi0309/Mental-Health-AI-Companion,"rrishi0309/Mental-Health-AI-CompanionAnAI-poweredMentalHealthCompanion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…5·Updatedon Mar 13, 2025",5,"on Mar 13, 2025"
4,aiproduct-creators/mental-health-ai,https://github.com/aiproduct-creators/mental-health-ai,"aiproduct-creators/mental-health-aiPython·2·Updatedon Jan 25, 2024",2,"on Jan 25, 2024"
4,Sukoon-A-Mental-Wellness-Platform/website,https://github.com/Sukoon-A-Mental-Wellness-Platform/website,"Sukoon-A-Mental-Wellness-Platform/websiteAI-poweredmentalhealthplatform with dream analysis, virtual therapy, and student wellness tools.reactjsgemini-apitailwind-csshume-apiJavaScript·14·Updatedon May 5, 2025",14,"on May 5, 2025"
4,TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"TAHIR0110/ThereForYouThereForYou: Yourmentalhealthally. Kai, ourAIassistant, offers compassionate support. Track your mood trends, find solace in a secur…apiflaskwebsitemachine-learningnatural-language-processingPython·89·Updatedon Feb 3, 2025",89,"on Feb 3, 2025"
4,Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"Anil951/Early-detection-of-mental-healthThis project develops a predictive model to identify early signs ofmentalhealthissues in adolescents using social media activity, scho…social-mediadeep-learningsentiment-analysislstmdata-analysisJupyter Notebook·7·Updatedon Nov 13, 2024",7,"on Nov 13, 2024"
4,zenn-ai/zen,https://github.com/zenn-ai/zen,"zenn-ai/zenZen -AIMentalHealthCounselortherapy-botlarge-language-modelsgen-aivicuna-13bllama2Python·7·Updatedon Dec 22, 2023",7,"on Dec 22, 2023"
4,demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,"demoslayer/Mental-health-Chatbot-MERN-STACKTheMentalHealthChatbot is a MERN stack web app that provides users withmentalhealthsupport through anAI-powered chatbot. Users can…JavaScript·13·Updatedon Oct 6, 2024",13,"on Oct 6, 2024"
4,Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"Bhargav1144/Mental_Health_ChatbotA Streamlit-basedAIchatbot offering compassionatementalhealthsupport using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…pythonchatbotllamamental-healthcoherePython·5·Updatedon Mar 4, 2025",5,"on Mar 4, 2025"
5,djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"djpapzin/MentalWellnessChatbotAIchatbot formentalhealthadvice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responsesPython·4·Updatedon Oct 13, 2023",4,"on Oct 13, 2023"
5,h8-hackathon/livy,https://github.com/h8-hackathon/livy,"h8-hackathon/livyOnline Counseling App forMentalHealthchataimental-healthmental-health-awarenessJavaScript·8·Updatedon Mar 10, 2023",8,"on Mar 10, 2023"
5,annu12340/Haven,https://github.com/annu12340/Haven,"annu12340/HavenWinner of the international MongoDBAIHackathon, Haven is anAI-powered solution empowering women in abusive situations with discreet h…aimongodbcodeforgoodwomen-empowermenthackathon-winnerTypeScript·30·Updatedon Dec 29, 2024",30,"on Dec 29, 2024"
5,Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,"Elliot-D-Hill/abcdLeveraging the largest US study of adolescent neurodevelopment to trainAImodels for longitudinalmentalhealthpredictionPython·12·Updatedon Nov 26, 2025",12,"on Nov 26, 2025"
5,Aditya-Ohri/Self.ai,https://github.com/Aditya-Ohri/Self.ai,"Aditya-Ohri/Self.aiAnAI-poweredmentalhealthplatform built at Hack the Hammer 2HTML·5·Updatedon Dec 15, 2019",5,"on Dec 15, 2019"
5,darshitk19/AI-Powered_Mental_Health_Prediction_System,https://github.com/darshitk19/AI-Powered_Mental_Health_Prediction_System,"darshitk19/AI-Powered_Mental_Health_Prediction_SystemA deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…Jupyter Notebook·7·Updatedon Jul 27, 2025",7,"on Jul 27, 2025"
5,amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,"amrita-thakur/mental-healthcare-chatbotThis repository contains amentalhealthcare chatbot applicationaifaissragllmmental-health-chatbotPython·5·Updatedon Jan 22, 2025",5,"on Jan 22, 2025"
5,miriandres/Happy2Help-chatbot,https://github.com/miriandres/Happy2Help-chatbot,"miriandres/Happy2Help-chatbot🧠 Happy2Help is yourmentalhealthchatbotpythonaichatbotpersonal-assistantPython·6·Updatedon Oct 7, 2022",6,"on Oct 7, 2022"
5,deepakuy/mindbridge-ai-hackathon,https://github.com/deepakuy/mindbridge-ai-hackathon,"deepakuy/mindbridge-ai-hackathonAI-poweredmentalhealthearly intervention systemPython·0·Updatedon Sep 11, 2025",0,"on Sep 11, 2025"
5,Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,https://github.com/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,"Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-HealthAround 1 in 4 people will experience amentalhealthproblem this year. Low-income countries have an estimated treatment gap of 85% (as c…Jupyter Notebook·10·Updatedon Jun 13, 2020",10,"on Jun 13, 2020"
